id,gp,minutes,pts,dreb,oreb,reb,asts,stl
41,3,0,9,0,0,0,6,0
39,6,0,34,0,0,0,13,0
42,2,0,22,0,0,0,4,0
38,5,0,66,0,0,0,22,0
43,8,0,57,0,0,0,17,0
20,2,0,2,0,0,0,1,0
44,2,0,2,0,0,0,0,0
19,5,0,75,0,0,0,7,0
45,3,0,43,0,0,0,11,0
18,5,0,85,0,0,0,19,0
46,8,0,95,0,0,0,19,0
17,3,0,36,0,0,0,8,0
47,4,0,32,0,0,0,2,0
16,8,0,10,0,0,0,3,0
48,11,0,84,0,0,0,52,0
15,8,0,19,0,0,0,4,0
49,8,0,91,0,0,0,14,0
14,2,0,15,0,0,0,4,0
50,3,0,9,0,0,0,6,0
13,6,0,17,0,0,0,10,0
37,2,0,26,0,0,0,4,0
12,2,0,5,0,0,0,0,0
36,2,0,15,0,0,0,9,0
11,1,0,4,0,0,0,0,0
35,3,0,2,0,0,0,0,0
34,2,0,6,0,0,0,1,0
33,3,0,49,0,0,0,7,0
32,2,0,11,0,0,0,1,0
31,2,0,2,0,0,0,0,0
29,2,0,9,0,0,0,6,0
28,12,0,82,0,0,0,30,0
5,2,0,2,0,0,0,3,0
2,2,0,15,0,0,0,2,0
7,10,0,76,0,0,0,25,0
23,5,0,65,0,0,0,6,0
40,2,0,36,0,0,0,2,0
3,3,0,11,0,0,0,2,0
8,1,0,0,0,0,0,0,0
24,11,0,43,0,0,0,7,0
6,6,0,137,0,0,0,12,0
26,2,0,6,0,0,0,5,0
9,2,0,19,0,0,0,3,0
25,6,0,43,0,0,0,17,0
4,11,0,93,0,0,0,10,0
27,8,0,101,0,0,0,13,0
10,4,0,30,0,0,0,11,0
30,12,0,42,0,0,0,12,0
22,7,0,9,0,0,0,4,0
1,2,0,0,0,0,0,0,0
21,3,0,9,0,0,0,5,0
0,2,0,18,0,0,0,5,0
